Title,Location,Company,Salary,Description
Data Scientist,"Bengaluru, Karnataka",IQLECT,None,Requirements Should have good knowledge of statistics and machine learning techniques Should able able to soft through data and extract the underlying…
Data Engineering Analyst,"Chennai, Tamil Nadu",UnitedHealth Group,None,Primary Responsibilities: - Assist with the day-to-day operations of the production data refresh process for OptumOne and Optum Performance Analytics (OPA)…
Data Scientist,"Thiruvananthapuram, Kerala",netObjex,None,About the job We are looking for a data scientist to help us discover the information hidden in vast amounts of data and help us make smarter decisions to…
Service Data Scientist,"Pune, Maharashtra",Philips,None,"Job Title Service Data Scientist Job Description #LI -SR1 In this role, you have the opportunity to Senior Service Data Scientist will build roadmap,…"
MASTER DATA SCIENTIST,"Bengaluru, Karnataka",Inference Labs,None,"The Data Scientist will be part of the Core Data Scientist Team. This team identifies and develops advanced analytics statistical model, machine learning…"
Data Scientist,"Noida, Uttar Pradesh",Ericsson,None,"Date: Aug 13, 2020 As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark.…"
Data Scientist,"Chennai, Tamil Nadu",Menorah Personnel Management India Private,None,Keyskills : Hand-on R programming skills Job Description : Job Description: • Hand-on R programming skills • Should be comfortable with implementing…
Data Scientist,"Mumbai, Maharashtra",Munich Re,None,Job Purpose We are looking for an experienced Data Scientist to join our growing Data Analytics team. The role will be responsible for advising the business…
"Specialist, Quantitative Analytics and Data Science","Bengaluru, Karnataka",Gartner,None,"What makes Gartner Research & Advisory a GREAT fit for you? When you join Gartner, you’ll be part of a leading-edge team that values expert insights, bold…"
Lead Data Scientist / Machine Learning Expert,"Bengaluru, Karnataka",Bidgely,None,Position Bidgely is looking for extraordinary and dynamic Data Scientists to be part of its core team in Bangalore. You must have delivered advanced…
Data Scientist,"Noida, Uttar Pradesh",SearchUrCollege,None,"Profile Requirements Analyze and dig out carefully vetted, actionable insights from (mostly! pre-cleaned) data. Turn insights into precise changes in the…"
Business Data Analyst,"Mumbai, Maharashtra",Thermo Fisher Scientific,None,"Position Summary: * Business Data Analyst is key team member of the business in providing comprehensive analytical framework, encompassing critical business…"
Senior Data Scientist,"Pune, Maharashtra",PhonePe,None,"PhonePe's mission is to make it easy and secure for our customers to use and manage their money via a purely digital, mobile experience. The data science team…"
Data Scientist,"Bengaluru, Karnataka",Careator Technologies,None,"Greetings from Careator Technologies Private Limited., (CTPL). CAREATOR Technologies is an emerging technology company, based on the strengths of…"
Data Engineer,"Bengaluru, Karnataka",Aleron,None,"ID: 17011 Posted: 7/13/2020 Location: Bangalore, Category: Big- Data Job Type: Permanent Description Create and maintain optimal data pipeline architecture…"
Data Scientist,"Chandigarh, Chandigarh",Firminiq,None,Experience with large data sets.Experience identifying business problems and selecting/finding the most appropriate data sets and statistical models to…
Freelance Trainers - Machine Learning,"Bengaluru, Karnataka",HSI Client,None,"Center for High-Performance Computing (NVIDIA & Boston) • The Lab was setup to train the students and faculty on High Performance Computing, Machine learning…"
Sr. ENVIRONMENT ENGINEER,"Pune, Maharashtra",Techniche Engineering,None,"Analytical skills, to provide meaningful data for clients.Provide administrative support for projects by collecting data, providing project documentation,…"
Sr Data Analyst,"Pune, Maharashtra",CDK Global,None,"Develops and directs strategies for data acquisitions and data extractions.7+ Years relevant experience include data analysis, data administration or software…"
Research Associate - Discovery Chemistry,India,Syngene,None,Good Knowledge of analytical techniques and analytical data interpretation.Its innovative culture is driven by the passion of its 4240- strong team of…
Associate Manager - Development Quality Assurance - IT,India,Syngene,None,Experience in electronic data management in a similar industry.The IT- Development Quality Assurance person should review data generated across all experiment…
Decision Scientist,"Chennai, Tamil Nadu",PayPal,None,Risk management / big data manipulation experience is a plus.In order to fully capture all the events critical to detect fraud pressure and/or fraud-driven…
Machine Learning Engineer,"Kanpur, Uttar Pradesh",ITH Technologies,None,"Conducting data processing and analysis, using DSP techniques and methods, to extract information of the EEG signal data for detection of various attributes of…"
RA Officer,"Halol, Gujarat",Ayurlab Herbals Pvt. Ltd.,None,"Analysing complicated information, including trial data.Providing advice about regulations to manufacturers/scientists."
Statistical Programmer,"Hyderabad, Telangana",Novartis,None,"Review the eCRF, data structures and data review activities.Where you’re given opportunities to explore the power of digital and data."
Data Analyst Supply Chain,"Bengaluru, Karnataka",Koch Technology Center,None,Experience in data visualization (Power Bi).Strong analytical skills with proven experience of managing/ handling data.What You Will Do In Your Role.
BP Analytics Junior PV Engineer,"Bengaluru, Karnataka",Ciena,None,"Since 1992, Ciena has been driven by a relentless pursuit of network innovation.We believe in a network that grows smarter, more agile, and more responsive…"
Data Engineering Manager,"Hyderabad, Telangana",Novartis,None,"7+ years’ experience in a Global company as a data steward, engineer, modeler or data scientist.Collaborate with business stakeholders, data scientists and IT…"
Software Engineer – Machine Learning,"Bengaluru, Karnataka",Netradyne,None,"Experience with image, video and time-series data.Design, implement and track key metrics; and architect data-driven solutions."
C++ – GreenField IOT – Streaming Analytics,"Hyderabad, Telangana",CareerXperts,None,Understanding of data structures and algorithms.Our Streaming Analytics platform provides complex event processing and intelligent automated action on fast…
Data Scientist,"Chandigarh, Chandigarh",Firminiq,None,Experience with large data sets.Experience identifying business problems and selecting/finding the most appropriate data sets and statistical models to…
Freelance Trainers - Machine Learning,"Bengaluru, Karnataka",HSI Client,None,"Center for High-Performance Computing (NVIDIA & Boston) • The Lab was setup to train the students and faculty on High Performance Computing, Machine learning…"
Sr. ENVIRONMENT ENGINEER,"Pune, Maharashtra",Techniche Engineering,None,"Analytical skills, to provide meaningful data for clients.Provide administrative support for projects by collecting data, providing project documentation,…"
Sr Data Analyst,"Pune, Maharashtra",CDK Global,None,"Develops and directs strategies for data acquisitions and data extractions.7+ Years relevant experience include data analysis, data administration or software…"
Research Associate - Discovery Chemistry,India,Syngene,None,Good Knowledge of analytical techniques and analytical data interpretation.Its innovative culture is driven by the passion of its 4240- strong team of…
Associate Manager - Development Quality Assurance - IT,India,Syngene,None,Experience in electronic data management in a similar industry.The IT- Development Quality Assurance person should review data generated across all experiment…
Decision Scientist,"Chennai, Tamil Nadu",PayPal,None,Risk management / big data manipulation experience is a plus.In order to fully capture all the events critical to detect fraud pressure and/or fraud-driven…
Machine Learning Engineer,"Kanpur, Uttar Pradesh",ITH Technologies,None,"Conducting data processing and analysis, using DSP techniques and methods, to extract information of the EEG signal data for detection of various attributes of…"
RA Officer,"Halol, Gujarat",Ayurlab Herbals Pvt. Ltd.,None,"Analysing complicated information, including trial data.Providing advice about regulations to manufacturers/scientists."
Statistical Programmer,"Hyderabad, Telangana",Novartis,None,"Review the eCRF, data structures and data review activities.Where you’re given opportunities to explore the power of digital and data."
Data Analyst Supply Chain,"Bengaluru, Karnataka",Koch Technology Center,None,Experience in data visualization (Power Bi).Strong analytical skills with proven experience of managing/ handling data.What You Will Do In Your Role.
BP Analytics Junior PV Engineer,"Bengaluru, Karnataka",Ciena,None,"Since 1992, Ciena has been driven by a relentless pursuit of network innovation.We believe in a network that grows smarter, more agile, and more responsive…"
Data Engineering Manager,"Hyderabad, Telangana",Novartis,None,"7+ years’ experience in a Global company as a data steward, engineer, modeler or data scientist.Collaborate with business stakeholders, data scientists and IT…"
Software Engineer – Machine Learning,"Bengaluru, Karnataka",Netradyne,None,"Experience with image, video and time-series data.Design, implement and track key metrics; and architect data-driven solutions."
C++ – GreenField IOT – Streaming Analytics,"Hyderabad, Telangana",CareerXperts,None,Understanding of data structures and algorithms.Our Streaming Analytics platform provides complex event processing and intelligent automated action on fast…
Data Scientist,"Chandigarh, Chandigarh",Firminiq,None,Experience with large data sets.Experience identifying business problems and selecting/finding the most appropriate data sets and statistical models to…
Freelance Trainers - Machine Learning,"Bengaluru, Karnataka",HSI Client,None,"Center for High-Performance Computing (NVIDIA & Boston) • The Lab was setup to train the students and faculty on High Performance Computing, Machine learning…"
Sr. ENVIRONMENT ENGINEER,"Pune, Maharashtra",Techniche Engineering,None,"Analytical skills, to provide meaningful data for clients.Provide administrative support for projects by collecting data, providing project documentation,…"
Sr Data Analyst,"Pune, Maharashtra",CDK Global,None,"Develops and directs strategies for data acquisitions and data extractions.7+ Years relevant experience include data analysis, data administration or software…"
Research Associate - Discovery Chemistry,India,Syngene,None,Good Knowledge of analytical techniques and analytical data interpretation.Its innovative culture is driven by the passion of its 4240- strong team of…
Associate Manager - Development Quality Assurance - IT,India,Syngene,None,Experience in electronic data management in a similar industry.The IT- Development Quality Assurance person should review data generated across all experiment…
Decision Scientist,"Chennai, Tamil Nadu",PayPal,None,Risk management / big data manipulation experience is a plus.In order to fully capture all the events critical to detect fraud pressure and/or fraud-driven…
Machine Learning Engineer,"Kanpur, Uttar Pradesh",ITH Technologies,None,"Conducting data processing and analysis, using DSP techniques and methods, to extract information of the EEG signal data for detection of various attributes of…"
RA Officer,"Halol, Gujarat",Ayurlab Herbals Pvt. Ltd.,None,"Analysing complicated information, including trial data.Providing advice about regulations to manufacturers/scientists."
Statistical Programmer,"Hyderabad, Telangana",Novartis,None,"Review the eCRF, data structures and data review activities.Where you’re given opportunities to explore the power of digital and data."
Data Analyst Supply Chain,"Bengaluru, Karnataka",Koch Technology Center,None,Experience in data visualization (Power Bi).Strong analytical skills with proven experience of managing/ handling data.What You Will Do In Your Role.
BP Analytics Junior PV Engineer,"Bengaluru, Karnataka",Ciena,None,"Since 1992, Ciena has been driven by a relentless pursuit of network innovation.We believe in a network that grows smarter, more agile, and more responsive…"
Data Engineering Manager,"Hyderabad, Telangana",Novartis,None,"7+ years’ experience in a Global company as a data steward, engineer, modeler or data scientist.Collaborate with business stakeholders, data scientists and IT…"
Software Engineer – Machine Learning,"Bengaluru, Karnataka",Netradyne,None,"Experience with image, video and time-series data.Design, implement and track key metrics; and architect data-driven solutions."
C++ – GreenField IOT – Streaming Analytics,"Hyderabad, Telangana",CareerXperts,None,Understanding of data structures and algorithms.Our Streaming Analytics platform provides complex event processing and intelligent automated action on fast…
Data Scientist,"Chandigarh, Chandigarh",Firminiq,None,Experience with large data sets.Experience identifying business problems and selecting/finding the most appropriate data sets and statistical models to…
Freelance Trainers - Machine Learning,"Bengaluru, Karnataka",HSI Client,None,"Center for High-Performance Computing (NVIDIA & Boston) • The Lab was setup to train the students and faculty on High Performance Computing, Machine learning…"
Sr. ENVIRONMENT ENGINEER,"Pune, Maharashtra",Techniche Engineering,None,"Analytical skills, to provide meaningful data for clients.Provide administrative support for projects by collecting data, providing project documentation,…"
Sr Data Analyst,"Pune, Maharashtra",CDK Global,None,"Develops and directs strategies for data acquisitions and data extractions.7+ Years relevant experience include data analysis, data administration or software…"
Research Associate - Discovery Chemistry,India,Syngene,None,Good Knowledge of analytical techniques and analytical data interpretation.Its innovative culture is driven by the passion of its 4240- strong team of…
Associate Manager - Development Quality Assurance - IT,India,Syngene,None,Experience in electronic data management in a similar industry.The IT- Development Quality Assurance person should review data generated across all experiment…
Decision Scientist,"Chennai, Tamil Nadu",PayPal,None,Risk management / big data manipulation experience is a plus.In order to fully capture all the events critical to detect fraud pressure and/or fraud-driven…
Machine Learning Engineer,"Kanpur, Uttar Pradesh",ITH Technologies,None,"Conducting data processing and analysis, using DSP techniques and methods, to extract information of the EEG signal data for detection of various attributes of…"
RA Officer,"Halol, Gujarat",Ayurlab Herbals Pvt. Ltd.,None,"Analysing complicated information, including trial data.Providing advice about regulations to manufacturers/scientists."
Statistical Programmer,"Hyderabad, Telangana",Novartis,None,"Review the eCRF, data structures and data review activities.Where you’re given opportunities to explore the power of digital and data."
Data Analyst Supply Chain,"Bengaluru, Karnataka",Koch Technology Center,None,Experience in data visualization (Power Bi).Strong analytical skills with proven experience of managing/ handling data.What You Will Do In Your Role.
BP Analytics Junior PV Engineer,"Bengaluru, Karnataka",Ciena,None,"Since 1992, Ciena has been driven by a relentless pursuit of network innovation.We believe in a network that grows smarter, more agile, and more responsive…"
Data Engineering Manager,"Hyderabad, Telangana",Novartis,None,"7+ years’ experience in a Global company as a data steward, engineer, modeler or data scientist.Collaborate with business stakeholders, data scientists and IT…"
Software Engineer – Machine Learning,"Bengaluru, Karnataka",Netradyne,None,"Experience with image, video and time-series data.Design, implement and track key metrics; and architect data-driven solutions."
